threshold,review_rate,policy_accuracy,ai_only_accuracy,accuracy_gain
0.615,0.22413793103448276,0.853448275862069,0.7758620689655172,0.07758620689655171
0.62,0.22413793103448276,0.853448275862069,0.7758620689655172,0.07758620689655171
0.625,0.22413793103448276,0.853448275862069,0.7758620689655172,0.07758620689655171
0.63,0.22413793103448276,0.853448275862069,0.7758620689655172,0.07758620689655171
0.635,0.20689655172413793,0.853448275862069,0.7758620689655172,0.07758620689655171
0.64,0.20689655172413793,0.853448275862069,0.7758620689655172,0.07758620689655171
0.645,0.19827586206896552,0.853448275862069,0.7758620689655172,0.07758620689655171
0.65,0.19827586206896552,0.853448275862069,0.7758620689655172,0.07758620689655171
0.655,0.1724137931034483,0.8275862068965517,0.7758620689655172,0.051724137931034475
0.66,0.1724137931034483,0.8275862068965517,0.7758620689655172,0.051724137931034475
0.665,0.16379310344827586,0.8275862068965517,0.7758620689655172,0.051724137931034475
0.67,0.13793103448275862,0.8189655172413793,0.7758620689655172,0.0431034482758621
0.675,0.13793103448275862,0.8189655172413793,0.7758620689655172,0.0431034482758621
0.68,0.13793103448275862,0.8189655172413793,0.7758620689655172,0.0431034482758621
0.685,0.10344827586206896,0.8103448275862069,0.7758620689655172,0.03448275862068961
0.6900000000000001,0.08620689655172414,0.8017241379310345,0.7758620689655172,0.025862068965517238
0.6950000000000001,0.06896551724137931,0.7931034482758621,0.7758620689655172,0.017241379310344862
0.7000000000000001,0.0603448275862069,0.7844827586206896,0.7758620689655172,0.008620689655172376
0.705,0.0603448275862069,0.7844827586206896,0.7758620689655172,0.008620689655172376
0.71,0.05172413793103448,0.7844827586206896,0.7758620689655172,0.008620689655172376
0.715,0.04310344827586207,0.7844827586206896,0.7758620689655172,0.008620689655172376
0.72,0.02586206896551724,0.7844827586206896,0.7758620689655172,0.008620689655172376
0.725,0.017241379310344827,0.7844827586206896,0.7758620689655172,0.008620689655172376
0.73,0.008620689655172414,0.7844827586206896,0.7758620689655172,0.008620689655172376
0.735,0.008620689655172414,0.7844827586206896,0.7758620689655172,0.008620689655172376
0.74,0.008620689655172414,0.7844827586206896,0.7758620689655172,0.008620689655172376
0.745,0.008620689655172414,0.7844827586206896,0.7758620689655172,0.008620689655172376
0.75,0.008620689655172414,0.7844827586206896,0.7758620689655172,0.008620689655172376
0.755,0.008620689655172414,0.7844827586206896,0.7758620689655172,0.008620689655172376
0.76,0.008620689655172414,0.7844827586206896,0.7758620689655172,0.008620689655172376
0.765,0.0,0.7758620689655172,0.7758620689655172,0.0
0.77,0.0,0.7758620689655172,0.7758620689655172,0.0
0.775,0.0,0.7758620689655172,0.7758620689655172,0.0
0.78,0.0,0.7758620689655172,0.7758620689655172,0.0
0.785,0.0,0.7758620689655172,0.7758620689655172,0.0
0.79,0.0,0.7758620689655172,0.7758620689655172,0.0
0.795,0.0,0.7758620689655172,0.7758620689655172,0.0
